Start Date, Start Time, Subject, Location, All Day Event, Private
2017/02/20,9:00 ,최고위원회의,국회 당대표회의실,False,False
2017/02/21,10:30,긴급 의원총회,국회 본청 246호,False,False
2017/02/21,11:30,야4당 당대표 회동,국회 귀빈식당 1호실,False,False
2017/02/22,09:00,최고위원회의,국회 당대표 회의실,False,False
2017/02/22,15:00,'박근혜 대통령. 미리 보는 탄핵심판' 토론회,국회도서관 대강당,False,False
2017/02/23,13:30,의원총회,국회 본청 246호,False,False
2017/02/23,14:00,본회의,국회 본회의장,False,False
2017/02/24,09:00,최고위원회의,국회 당대표 회의실,False,False
2017/02/25,18:00,17차 촛불집회,광화문 광장,False,False
2017/02/27,09:00,최고위원회의,국회 당대표 회의실,False,False
2017/02/27,10:00,긴급 의원총회,국회 본청 246호,False,False
